group,id,source,target,value
Participants,Switzerland,Albania,UK,10
Participants,Portugal,Albania,Sweden,8
Participants,Australia,Albania,Ukraine,10
Participants,Belgium,Albania,Netherlands,6
Participants,Spain,Albania,Spain,5
Participants,UK,Albania,Armenia,4
Participants,Norway,Albania,Azerbaijan,3
Participants,Moldova,Albania,Belgium,2
Participants,Sweden,Albania,Portugal,1
Participants,Czech Republic,Albania,Italy,12
Participants,Romania,Estonia,Italy,10
Participants,Finland,Estonia,Australia,8
Participants,France,Estonia,Portugal,7
Participants,Armenia,Estonia,Greece,6
Participants,Italy,Estonia,Finland,5
Participants,Netherlands,Estonia,UK,4
Participants,Ukraine,Estonia,Azerbaijan,3
Participants,Germany,Estonia,Lithuania,2
Participants,Lithuania,Estonia,Netherlands,1
Participants,Azerbaijan,Estonia,Sweden,12
Participants,Greece,Azerbaijan,Italy,10
Participants,Iceland,Azerbaijan,Sweden,8
Participants,Poland,Azerbaijan,Portugal,7
Participants,Serbia,Azerbaijan,Ukraine,6
Participants,Estonia,Azerbaijan,Spain,5
Voters1,Cyprus,Azerbaijan,Netherlands,4
Voters1,Austria,Azerbaijan,Greece,3
Voters1,San Marino,Azerbaijan,Poland,2
Voters1,North Macedonia,Azerbaijan,France,1
Voters1,Malta,Azerbaijan,UK,12
Voters1,Albania,Portugal,UK,10
Voters1,Israel,Portugal,Ukraine,8
Voters1,Bulgaria,Portugal,Netherlands,7
Voters1,Latvia,Portugal,Iceland,6
Voters1,Denmark,Portugal,Lithuania,5
Voters1,Montenegro,Portugal,Greece,4
Voters1,Ireland,Portugal,Serbia,3
Voters1,Slovenia,Portugal,Switzerland,2
Voters1,Georgia,Portugal,Armenia,1
Voters1,Croatia,Portugal,Spain,12
People Voters1,Televoting,Germany,Spain,8
,,Germany,Ukraine,10
,,Germany,Sweden,7
,,Germany,Azerbaijan,6
,,Germany,Australia,5
,,Germany,Netherlands,4
,,Germany,Norway,3
,,Germany,Switzerland,2
,,Germany,Romania,1
,,Germany,UK,8
,,Ukraine,Portugal,10
,,Ukraine,Netherlands,8
,,Ukraine,Greece,7
,,Ukraine,Switzerland,6
,,Ukraine,Azerbaijan,5
,,Ukraine,Sweden,4
,,Ukraine,Australia,3
,,Ukraine,Armenia,2
,,Ukraine,Czech Republic,1
,,Ukraine,UK,12
,,Malta,Sweden,10
,,Malta,UK,8
,,Malta,Italy,7
,,Malta,Australia,6
,,Malta,Poland,4
,,Malta,Czech Republic,3
,,Malta,Azerbaijan,2
,,Malta,Greece,1
,,Malta,Spain,12
,,Malta,Sweden,10
,,North Macedonia,Serbia,10
,,North Macedonia,UK,8
,,North Macedonia,Italy,7
,,North Macedonia,Sweden,6
,,North Macedonia,Australia,6
,,North Macedonia,Azerbaijan,4
,,North Macedonia,Belgium,3
,,North Macedonia,Poland,2
,,North Macedonia,Switzerland,1
,,North Macedonia,Spain,12
,,San Marino,Greece,10
,,San Marino,Australia,6
,,San Marino,UK,8
,,San Marino,Switzerland,1
,,San Marino,Azerbaijan,7
,,San Marino,Sweden,5
,,San Marino,Poland,4
,,San Marino,Italy,3
,,San Marino,Ukraine,2
,,San Marino,Spain,12
,,Netherlands,Switzerland,10
,,Netherlands,Portugal,8
,,Netherlands,Australia,7
,,Netherlands,Belgium,6
,,Netherlands,Spain,6
,,Netherlands,UK,6
,,Netherlands,Norway,3
,,Netherlands,Moldova,3
,,Netherlands,Sweden,1
,,Netherlands,Greece,12
,,Belgium,Spain,10
,,Belgium,Italy,8
,,Belgium,Sweden,7
,,Belgium,Ukraine,6
,,Belgium,Portugal,5
,,Belgium,Serbia,4
,,Belgium,Azerbaijan,3
,,Belgium,Czech Republic,2
,,Belgium,Australia,1
,,Belgium,UK,12
,,Norway,Portugal,10
,,Norway,Sweden,8
,,Norway,Spain,7
,,Norway,UK,6
,,Norway,Netherlands,5
,,Norway,Armenia,4
,,Norway,Ukraine,3
,,Norway,Lithuania,2
,,Norway,Switzerland,1
,,Norway,Greece,12
,,Israel,UK,10
,,Israel,Italy,8
,,Israel,Ukraine,7
,,Israel,Poland,7
,,Israel,Australia,5
,,Israel,Belgium,4
,,Israel,Spain,3
,,Israel,Czech Republic,2
,,Israel,Netherlands,1
,,Israel,Sweden,12
,,Poland,Sweden,10
,,Poland,UK,8
,,Poland,Portugal,7
,,Poland,Australia,6
,,Poland,Switzerland,5
,,Poland,Italy,4
,,Poland,Netherlands,3
,,Poland,Greece,2
,,Poland,Spain,1
,,Poland,Ukraine,12
,,Greece,Poland,10
,,Greece,Australia,8
,,Greece,Romania,7
,,Greece,Moldova,6
,,Greece,Spain,5
,,Greece,Netherlands,4
,,Greece,Portugal,3
,,Greece,Czech Republic,2
,,Greece,Italy,1
,,Greece,Azerbaijan,12
,,Moldova,Ukraine,12
,,Moldova,UK,10
,,Moldova,Sweden,8
,,Moldova,Switzerland,7
,,Moldova,Australia,6
,,Moldova,Estonia,5
,,Moldova,Belgium,4
,,Moldova,Spain,3
,,Moldova,Portugal,2
,,Moldova,Azerbaijan,1
,,Bulgaria,Azerbaijan,3
,,Bulgaria,UK,10
,,Bulgaria,Spain,8
,,Bulgaria,Switzerland,7
,,Bulgaria,Belgium,6
,,Bulgaria,Armenia,5
,,Bulgaria,Portugal,4
,,Bulgaria,Norway,2
,,Bulgaria,Italy,1
,,Bulgaria,Greece,12
,,Serbia,Estonia,10
